Category,Qty,Part,Value,LCSC Part number,Price/unit,Extended description,Link
Compute,1,ESP32 WROVER DevKitC,Espressif ESP32-WROVER-DevKitC,,$12,Purchased from digikey ,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-DEVKITC-VIE/12091811
IMU,1,BMI320 IMU,Bosch BMI320,C22391148,$0.99,SPI IMU,https://www.lcsc.com/product-detail/C22391148.html?spm=wm.ddx.0.xqy___wm.ddl.ddb.1.ddh&lcsc_vid=TlgPUl1SRQJdVVIHTlZeVFVVQwcNUwZRRVVdUlRQFlMxVlNeQVlWV1JQQFNXUTtW
Passive,4,Capacitor,100nf,C49678,"	$ 0.0218",,https://www.lcsc.com/product-detail/C49678.html?spm=wm.ddx.4.xqy___wm.ddl.ddb.2.ddh&lcsc_vid=TlgPUl1SRQJdVVIHTlZeVFVVQwcNUwZRRVVdUlRQFlMxVlNeQFVeV1FWQlFZUTtW
,,,,,,,
Mechanics,2,Diametric magnets,,,,Will try to find,https://www.amazon.com/Diametrically-Magnetized-Neodymium-Permanent-Magnet/dp/B0GWXBS6SM?th=1
Encoder,1,AS5600 Magnetic Encoder,AMS AS5600,C499458,$ 1.1855,For wheel pos tracking,https://www.lcsc.com/product-detail/C499458.html?spm=wm.gwc.xh.1.cbm___wm.sy.ssl.gwc&lcsc_vid=TlgPUl1SRQJdVVIHTlZeVFVVQwcNUwZRRVVdUlRQFlMxVlNeQVlWV1JQQFNXUTtW
,1,Capacitor,1uf,C28323,$0.04,,https://www.lcsc.com/product-detail/C28323.html?s_z=n_q_t_1uf%25200805&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=TlgPUl1SRQJdVVIHTlZeVFVVQwcNUwZRRVVdUlRQFlMxVlNeQFVeVFRXQFZaXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
,,,,,,,
Motor Driver,1,TB6612FNG Motor Driver,Toshiba TB6612FNG,C141517,$ 1.1659,Target PCB driver; STBY tied to GPIO (to purchase),https://www.lcsc.com/product-detail/C141517.html?spm=wm.gwc.xh.0.cbm___wm.sy.ssl.gwc&lcsc_vid=TlgPUl1SRQJdVVIHTlZeVFVVQwcNUwZRRVVdUlRQFlMxVlNeQVlWV1JQQFNXUTtW
Passive,2,Tantalum Capacitor,10uf,C117023,$0.31,,https://www.lcsc.com/product-detail/C117023.html?spm=wm.gwc.xh.2.cbm___wm.ddl.ssl.gwc&lcsc_vid=TlgPUl1SRQJdVVIHTlZeVFVVQwcNUwZRRVVdUlRQFlMxVlNeQFVeV1FWQlFZUTtW
,,,,,,,
Mechanical,7,Female header,,C40877,$0.09,To plug in esp32 devboard,https://www.lcsc.com/product-detail/C40877.html?spm=wm.ddx.0.xqy___wm.ddl.ddb.3.ddh&lcsc_vid=TlgPUl1SRQJdVVIHTlZeVFVVQwcNUwZRRVVdUlRQFlMxVlNeQFVeV1FWQlFZUTtW
Mechanical,5,Male headers,,C49257,$ 0.0272,,https://www.lcsc.com/product-detail/C49257.html?spm=wm.ddx.1.xqy___wm.ddl.ddb.3.ddh&lcsc_vid=TlgPUl1SRQJdVVIHTlZeVFVVQwcNUwZRRVVdUlRQFlMxVlNeQFVeV1FWQlFZUTtW
Mechanical,2,DC Gear Motors,,,$25,Includes Wheels,https://www.amazon.ca/SazkJere-Geared-Motor-Gearbox-200RPM/dp/B0G64KFYPS/ref=sr_1_1?crid=10AUSOB7QL180&dib=eyJ2IjoiMSJ9.D-Q8CQewFELjcy3AEYWizWty3CRa7KjGgYh34xoc211XhoWmB5yni0eJMQO9hEmiBfi38OKlqGQJMe147IKiyxKqfwG-wTrOj7j1u3I4SNpMQCOePVN5pOg2UVu9V0bnTf6IMqpzbs4JSFThYSk-jRu23IUH_Mzl7PmbO9BY0WStx6WqU34ajq5o6ozdQrZV6GA75-dvDFC-Q8ELM1_eIJXPamxUH7PFxKyRAcxcZUl3eYZpEvvlAHW3wLHIpAiP.g9cDZe8FTmwjJJcla73KGjewdR6UDRoRNgy6T4-b7DI&dib_tag=se&keywords=dual+shaft+2+Sets+DC+Gearbox+Motor+200RPM+Yellow+TT+Motor+1%3A48+%2B+Plastic+Wheel+%28Yellow+TT+Motor+%2B+Wheel%29&qid=1786979330&s=industrial&sprefix=dual+shaft+2+sets+dc+gearbox+motor+200rpm+yellow+tt+motor+1+48+%2B+plastic+wheel+yellow+tt+motor+%2B+wheel+%2Cindustrial%2C295&sr=1-1
Mechanical,1,Chassis / Frame (custom),,,,Onshape CAD; STEP in hardware/cad/step/,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,TOTAL COST,Sum of (Qty x Price/unit) across all rows,
